country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Egypt,,,250000000,336000000,448000000,515000000,482000000,508000000,649000000,889000000,1090000000,1270000000,1070000000,1240000000,1850000000,1930000000,2200000000,2750000000,2490000000,1150000000,1360000000,1820000000,2310000000,3000000000,3740000000,4200000000,4730000000,4810000000,4450000000,3520000000,2260000000,1350000000,1420000000,1530000000,1710000000,1950000000,2120000000,2270000000,2370000000,2450000000,2630000000,2830000000,2900000000,2380000000,2370000000,2660000000,2950000000,3310000000,3780000000,4020000000,4410000000,4460000000,4560000000,4360000000,5090000000,5480000000,4510000000,2770000000,3110000000
El Salvador,4380000,4440000,6220000,6100000,5720000,6480000,6590000,6780000,6620000,7510000,7140000,8520000,11100000,12500000,13400000,15700000,20500000,28600000,35000000,54600000,62100000,78400000,94400000,125000000,236000000,250000000,163000000,177000000,179000000,213000000,164000000,145000000,134000000,116000000,109000000,112000000,111000000,112000000,111000000,115000000,110000000,151000000,162000000,127000000,128000000,133000000,142000000,166000000,173000000,190000000,201000000,221000000,224000000,238000000,234000000,248000000,248000000,261000000,266000000
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2380000,3450000,,,,,,,,,,,,196000000,293000000,372000000,,,,,167000000,,18200000,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108000000,80200000,125000000,152000000,92800000,263000000,273000000,231000000,167000000,151000000,182000000,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13100000,25100000,36300000,41400000,53000000,59900000,73800000,78300000,93800000,122000000,171000000,205000000,266000000,315000000,444000000,506000000,434000000,332000000,389000000,437000000,479000000,512000000,464000000,498000000,537000000,618000000
Ethiopia,15300000,18600000,20200000,27300000,36100000,42900000,43400000,37000000,34700000,34400000,34500000,36100000,41000000,48400000,74800000,125000000,128000000,135000000,178000000,276000000,359000000,367000000,387000000,408000000,423000000,429000000,439000000,477000000,615000000,782000000,785000000,529000000,255000000,164000000,149000000,122000000,126000000,225000000,459000000,704000000,618000000,350000000,289000000,279000000,311000000,342000000,346000000,360000000,388000000,340000000,304000000,332000000,367000000,345000000,414000000,443000000,490000000,503000000,497000000
Fiji,,,,,,,,,,,413000,536000,788000,932000,1350000,2060000,2750000,3650000,7240000,9570000,10400000,11400000,14900000,15100000,15600000,14000000,14600000,25100000,24700000,29100000,30500000,32500000,30500000,32000000,33700000,34700000,32900000,31000000,22600000,23800000,32000000,32800000,30900000,37300000,46800000,43100000,54100000,75600000,53600000,51300000,50400000,60800000,59200000,58100000,46100000,42400000,42600000,45700000,48400000
Finland,89600000,105000000,154000000,129000000,140000000,150000000,153000000,147000000,150000000,140000000,153000000,178000000,221000000,277000000,309000000,433000000,417000000,462000000,507000000,643000000,874000000,791000000,845000000,905000000,826000000,911000000,1220000000,1460000000,1700000000,1770000000,2140000000,2200000000,2080000000,1620000000,1760000000,1910000000,2020000000,1950000000,1960000000,1650000000,1560000000,1480000000,1610000000,2480000000,2890000000,3000000000,3130000000,3300000000,3960000000,3940000000,3720000000,4100000000,3940000000,4160000000,3990000000,3400000000,3420000000,3430000000,3850000000
France,3880000000,4130000000,4490000000,4630000000,4920000000,5120000000,5410000000,5860000000,6130000000,5910000000,5880000000,6300000000,7530000000,9500000000,9950000000,13000000000,13300000000,15000000000,18900000000,22700000000,26400000000,23900000000,22500000000,21700000000,20200000000,20800000000,28500000000,34900000000,36100000000,35300000000,42600000000,42700000000,45100000000,42600000000,44400000000,47800000000,46400000000,41300000000,40000000000,38900000000,33800000000,33300000000,36400000000,45900000000,53000000000,52900000000,54500000000,60600000000,66000000000,66900000000,61800000000,64600000000,60000000000,62400000000,63600000000,55300000000,57400000000,60400000000,63800000000
Gabon,,,,,,,,3010000,2990000,4350000,4640000,5500000,6670000,9420000,10500000,16800000,20100000,28900000,,56900000,68600000,88300000,88600000,86600000,80300000,95500000,136000000,,,,,,,,,,,,,,91300000,90000000,94700000,108000000,125000000,118000000,130000000,,,,269000000,266000000,278000000,282000000,208000000,170000000,203000000,267000000,261000000
